<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         2690.36        S       0      0       0     
snd         2690.489      SA       0      0       1     
rcv         2690.636       A       1      0       1     
rcv         2747.116       D       2      50      1     
rcv         2775.477       D       52     50      1     
rcv         2798.505       D       102    50      1     
rcv         2815.127       D       152    50      1     
rcv         2815.268       D       202    50      1     
rcv         2830.999       D       252    50      1     
rcv         2854.221       D       302    50      1     
rcv         2883.087       D       352    50      1     
rcv         2905.814       D       402    50      1     
rcv         2935.068       D       452    50      1     
rcv         2957.579       D       502    50      1     
rcv         2980.111       D       552    50      1     
rcv         2997.152       D       602    50      1     
rcv         3030.92        D       652    50      1     
rcv         3058.582       D       702    50      1     
rcv         3081.514       D       752    50      1     
rcv         3116.055       D       802    50      1     
rcv         3138.776       D       852    50      1     
rcv         3157.241       D       902    50      1     
rcv         3184.493       D       952    50      1     
rcv         3207.386       D       1002   50      1     
rcv         3235.484       D       1052   50      1     
rcv         3263.148       D       1102   50      1     
rcv         3286.029       D       1152   50      1     
rcv         3307.763       D       1202   50      1     
rcv         3330.41        D       1252   50      1     
rcv         3351.435       D       1302   50      1     
rcv         3351.564       D       1352   50      1     
rcv         3368.227       D       1402   50      1     
rcv         3378.946       D       1452   50      1     
rcv         3413.198       D       1502   50      1     
rcv         3436.044       D       1552   50      1     
rcv         3460.394       D       1602   50      1     
rcv         3471.693       D       1652   50      1     
rcv         3506.275       D       1702   50      1     
rcv         3516.623       D       1752   50      1     
rcv         3522.473       D       1802   50      1     
rcv         3539.48        D       1852   50      1     
rcv         3574.04        D       1902   50      1     
rcv         3585.545       D       1952   50      1     
rcv         3597.452       D       2002   50      1     
rcv         3614.967       D       2052   50      1     
rcv         3626.739       D       2102   50      1     
rcv         3638.162       D       2152   50      1     
rcv         3643.562       D       2202   50      1     
rcv         3654.086       D       2252   50      1     
rcv         3659.554       D       2302   50      1     
rcv         3681.316       D       2352   50      1     
rcv         3698.346       D       2402   50      1     
rcv         3698.474       D       2452   50      1     
rcv         3703.731       D       2502   50      1     
rcv         3750.692       D       2552   50      1     
rcv         3785.197       D       2602   50      1     
rcv         3797.737       D       2652   50      1     
rcv         3808.746       D       2702   50      1     
rcv         3830.444       D       2752   50      1     
rcv         3853.373       D       2802   50      1     
rcv         3875.879       D       2852   50      1     
rcv         3904.609       D       2902   50      1     
rcv         3910.407       D       2952   50      1     
rcv         3915.85        D       3002   50      1     
rcv         3933.673       D       3052   50      1     
rcv         3967.849       D       3102   50      1     
rcv         4001.713       D       3152   50      1     
rcv         4006.995       D       3202   50      1     
rcv         4012.247       D       3252   50      1     
rcv         4012.381       D       3302   50      1     
rcv         4012.467       D       3352   50      1     
rcv         4030.159       D       3402   50      1     
rcv         4052.467       D       3452   50      1     
rcv         4075.572       D       3502   50      1     
rcv         4096.388       D       3552   50      1     
rcv         4118.076       D       3602   50      1     
rcv         4123.55        D       3652   50      1     
rcv         4151.777       D       3702   50      1     
rcv         4185.553       D       3752   50      1     
rcv         4220.016       D       3802   50      1     
rcv         4225.865       D       3852   50      1     
rcv         4258.486       D       3902   50      1     
rcv         4275.827       D       3952   50      1     
rcv         4293.538       D       4002   50      1     
rcv         4299.72        D       4052   50      1     
rcv         4322.199       D       4102   50      1     
rcv         4339.765       D       4152   50      1     
rcv         4361.054       D       4202   50      1     
rcv         4372.465       D       4252   50      1     
rcv         4405.039       D       4302   50      1     
rcv         4427.465       D       4352   50      1     
rcv         4455.374       D       4402   50      1     
rcv         4478.383       D       4452   50      1     
rcv         4489.623       D       4502   50      1     
rcv         4523.966       D       4552   50      1     
rcv         4535.539       D       4602   50      1     
rcv         4563.967       D       4652   50      1     
rcv         4581.712       D       4702   50      1     
rcv         4599.243       D       4752   50      1     
rcv         4622.673       D       4802   50      1     
rcv         4656.077       D       4852   50      1     
rcv         4678.921       D       4902   50      1     
rcv         4714.091       D       4952   50      1     
rcv         4731.407       D       5002   50      1     
rcv         4743.519       D       5052   50      1     
rcv         4767.316       D       5102   50      1     
rcv         4790.616       D       5152   50      1     
rcv         4812.89        D       5202   50      1     
rcv         4818.359       D       5252   50      1     
rcv         4842.342       D       5302   50      1     
rcv         4876.583       D       5352   50      1     
rcv         4909.101       D       5402   50      1     
rcv         4932.506       D       5452   50      1     
rcv         4987.525       D       5502   50      1     
rcv         4993.186       D       5552   50      1     
rcv         5010.372       D       5602   50      1     
rcv         5020.857       D       5652   50      1     
rcv         5027.195       D       5702   50      1     
rcv         5050.21        D       5752   50      1     
rcv         5067.996       D       5802   50      1     
rcv         5085.737       D       5852   50      1     
rcv         5108.352       D       5902   50      1     
rcv         5131.216       D       5952   50      1     
rcv         5159.235       D       6002   50      1     
rcv         5159.4         D       6052   50      1     
rcv         5164.943       D       6102   50      1     
rcv         5165.103       D       6152   50      1     
rcv         5187.8         D       6202   50      1     
rcv         5205.572       D       6252   50      1     
rcv         5240.295       D       6302   50      1     
rcv         5267.751       D       6352   50      1     
rcv         5290.639       D       6402   50      1     
rcv         5313.676       D       6452   50      1     
rcv         5319.064       D       6502   50      1     
rcv         5352.153       D       6552   50      1     
rcv         5369.087       D       6602   50      1     
rcv         5386.303       D       6652   50      1     
rcv         5391.803       D       6702   50      1     
rcv         5425.451       D       6752   50      1     
rcv         5447.467       D       6802   50      1     
rcv         5481.456       D       6852   50      1     
rcv         5508.987       D       6902   50      1     
rcv         5543.447       D       6952   50      1     
rcv         5565.388       D       7002   50      1     
rcv         5565.578       D       7052   50      1     
rcv         5571.33        D       7102   50      1     
rcv         5571.524       D       7152   50      1     
rcv         5571.791       D       7202   50      1     
rcv         5578.17        D       7252   50      1     
rcv         5599.238       D       7302   50      1     
rcv         5616.061       D       7352   50      1     
rcv         5650.526       D       7402   50      1     
rcv         5677.492       D       7452   50      1     
rcv         5704.364       D       7502   50      1     
rcv         5732.543       D       7552   50      1     
rcv         5783.071       D       7602   50      1     
rcv         5805.418       D       7652   50      1     
rcv         5833.794       D       7702   50      1     
rcv         5856.97        D       7752   50      1     
rcv         5857.156       D       7802   50      1     
rcv         5863.465       D       7852   50      1     
rcv         5891.171       D       7902   50      1     
rcv         5897.658       D       7952   50      1     
rcv         5914.414       D       8002   50      1     
rcv         5930.556       D       8052   50      1     
rcv         5930.747       D       8102   50      1     
rcv         5930.866       D       8152   50      1     
rcv         5931.106       D       8202   50      1     
rcv         5959.88        D       8252   50      1     
rcv         5982.775       D       8302   50      1     
rcv         5994.144       D       8352   50      1     
rcv         6027.377       D       8402   50      1     
rcv         6060.572       D       8452   50      1     
rcv         6078.67        D       8502   50      1     
rcv         6089.994       D       8552   50      1     
rcv         6124.245       D       8602   50      1     
rcv         6158.577       D       8652   50      1     
rcv         6176.208       D       8702   50      1     
rcv         6210.01        D       8752   50      1     
rcv         6232.108       D       8802   50      1     
rcv         6262.419       D       8852   50      1     
rcv         6297.767       D       8902   50      1     
rcv         6332.713       D       8952   50      1     
rcv         6366.734       D       9002   50      1     
rcv         6400.012       D       9052   50      1     
rcv         6416.873       D       9102   50      1     
rcv         6422.239       D       9152   50      1     
rcv         6422.431       D       9202   50      1     
rcv         6428.125       D       9252   50      1     
rcv         6462.481       D       9302   50      1     
rcv         6486.119       D       9352   50      1     
rcv         6520.125       D       9402   50      1     
rcv         6579.877       D       9452   50      1     
rcv         6580.087       D       9502   50      1     
rcv         6580.214       D       9552   50      1     
rcv         6580.328       D       9602   50      1     
rcv         6580.429       D       9652   50      1     
rcv         6615.322       D       9702   50      1     
rcv         6632.625       D       9752   50      1     
rcv         6632.852       D       9802   50      1     
rcv         6632.984       D       9852   50      1     
rcv         6633.102       D       9902   50      1     
rcv         6633.343       D       9952   50      1     
rcv         6660.802       D       10002  50      1     
rcv         6673.729       D       10052  50      1     
rcv         6673.948       D       10102  50      1     
rcv         6674.15        D       10152  50      1     
rcv         6685.74        D       10202  50      1     
rcv         6696.456       D       10252  50      1     
rcv         6721.807       D       10302  50      1     
rcv         6745.608       D       10352  50      1     
rcv         6745.8         D       10402  50      1     
rcv         6745.92        D       10452  50      1     
rcv         6746.033       D       10502  50      1     
rcv         6746.443       D       10552  50      1     
rcv         6753.836       D       10602  50      1     
rcv         6754.053       D       10652  50      1     
rcv         6754.174       D       10702  50      1     
rcv         6754.298       D       10752  50      1     
rcv         6846.939       D       10802  50      1     
rcv         6863.774       D       10852  50      1     
rcv         6876.297       D       10902  50      1     
rcv         6876.62        D       10952  50      1     
rcv         6876.874       D       11002  50      1     
rcv         6876.998       D       11052  50      1     
rcv         6893.974       D       11102  50      1     
rcv         6894.151       D       11152  50      1     
rcv         6894.271       D       11202  50      1     
rcv         6894.421       D       11252  50      1     
rcv         6894.585       D       11302  50      1     
rcv         6907.526       D       11352  50      1     
rcv         6931.311       D       11402  50      1     
rcv         6936.907       D       11452  50      1     
rcv         6949.145       D       11502  50      1     
rcv         6954.53        D       11552  50      1     
rcv         6966.358       D       11602  50      1     
rcv         6966.588       D       11652  50      1     
rcv         6966.907       D       11702  50      1     
rcv         6967.05        D       11752  50      1     
rcv         6989.416       D       11802  50      1     
rcv         6996.005       D       11852  50      1     
rcv         7002.281       D       11902  50      1     
rcv         7002.473       D       11952  50      1     
rcv         7002.602       D       12002  50      1     
rcv         7007.933       D       12052  50      1     
rcv         7008.303       D       12102  50      1     
rcv         7008.634       D       12152  50      1     
rcv         7008.912       D       12202  50      1     
rcv         7031.538       D       12252  50      1     
rcv         7031.738       D       12302  50      1     
rcv         7031.879       D       12352  50      1     
rcv         7032.01        D       12402  50      1     
rcv         7032.164       D       12452  50      1     
rcv         7055.587       D       12502  50      1     
rcv         7055.895       D       12552  50      1     
rcv         7056.237       D       12602  50      1     
rcv         7056.399       D       12652  50      1     
rcv         7056.713       D       12702  50      1     
rcv         7098.678       D       12752  50      1     
rcv         7119.493       D       12802  50      1     
rcv         7120.021       D       12852  50      1     
rcv         7122.126       D       12902  50      1     
rcv         7122.342       D       12952  50      1     
rcv         7122.471       D       13002  50      1     
rcv         7146.627       D       13052  50      1     
rcv         7146.814       D       13102  50      1     
rcv         7146.922       D       13152  50      1     
rcv         7147.039       D       13202  50      1     
rcv         7147.188       D       13252  50      1     
rcv         7176.905       D       13302  50      1     
rcv         7177.096       D       13352  50      1     
rcv         7177.474       D       13402  50      1     
rcv         7177.594       D       13452  50      1     
rcv         7177.704       D       13502  50      1     
rcv         7225.832       D       13552  50      1     
rcv         7237.6         D       13602  50      1     
rcv         7237.857       D       13652  50      1     
rcv         7238.014       D       13702  50      1     
rcv         7238.129       D       13752  50      1     
rcv         7265.214       D       13802  50      1     
rcv         7277.815       D       13852  50      1     
rcv         7305.467       D       13902  50      1     
rcv         7323.475       D       13952  50      1     
rcv         7358.338       D       14002  50      1     
rcv         7398.171       D       14052  50      1     
rcv         7431.135       D       14102  50      1     
rcv         7466.745       D       14152  50      1     
rcv         7489.312       D       14202  50      1     
rcv         7511.869       D       14252  50      1     
rcv         7535.136       D       14302  50      1     
rcv         7551.718       D       14352  50      1     
rcv         7574.24        D       14402  50      1     
rcv         7607.723       D       14452  50      1     
rcv         7641.606       D       14502  50      1     
rcv         7675.809       D       14552  50      1     
rcv         7699.773       D       14602  50      1     
rcv         7716.382       D       14652  50      1     
rcv         7732.894       D       14702  50      1     
rcv         7755.368       D       14752  50      1     
rcv         7767.693       D       14802  50      1     
rcv         7800.115       D       14852  50      1     
rcv         7828.651       D       14902  50      1     
rcv         7870.504       D       14952  50      1     
rcv         7903.99        D       15002  50      1     
rcv         7927.617       D       15052  50      1     
rcv         7938.382       D       15102  50      1     
rcv         7955.111       D       15152  50      1     
rcv         7977.983       D       15202  50      1     
rcv         8000.947       D       15252  50      1     
rcv         8035.782       D       15302  50      1     
rcv         8069.243       D       15352  50      1     
rcv         8098.788       D       15402  50      1     
rcv         8110.319       D       15452  50      1     
rcv         8143.691       D       15502  50      1     
rcv         8161.462       D       15552  50      1     
rcv         8188.615       D       15602  50      1     
rcv         8216.341       D       15652  50      1     
rcv         8245.404       D       15702  50      1     
rcv         8268.405       D       15752  50      1     
rcv         8301.894       D       15802  50      1     
rcv         8326.376       D       15852  50      1     
rcv         8331.883       D       15902  50      1     
rcv         8332.103       D       15952  50      1     
rcv         8332.279       D       16002  50      1     
rcv         8332.409       D       16052  50      1     
rcv         8371.037       D       16102  50      1     
rcv         8382.89        D       16152  50      1     
rcv         8401.177       D       16202  50      1     
rcv         8413.026       D       16252  50      1     
rcv         8435.127       D       16302  50      1     
rcv         8457.344       D       16352  50      1     
rcv         8490.226       D       16402  50      1     
rcv         8514.101       D       16452  50      1     
rcv         8530.682       D       16502  50      1     
rcv         8547.0         D       16552  50      1     
rcv         8576.191       D       16602  50      1     
rcv         8591.909       D       16652  50      1     
rcv         8610.542       D       16702  50      1     
rcv         8645.267       D       16752  50      1     
rcv         8668.449       D       16802  50      1     
rcv         8703.013       D       16852  50      1     
rcv         8724.779       D       16902  50      1     
rcv         8747.879       D       16952  50      1     
rcv         8775.542       D       17002  50      1     
rcv         8797.965       D       17052  50      1     
rcv         8825.757       D       17102  50      1     
rcv         8848.707       D       17152  50      1     
rcv         8869.342       D       17202  50      1     
rcv         8906.569       D       17252  50      1     
rcv         8924.224       D       17302  50      1     
rcv         8952.332       D       17352  50      1     
rcv         8986.278       D       17402  50      1     
rcv         9008.487       D       17452  50      1     
rcv         9014.343       D       17502  50      1     
rcv         9026.116       D       17552  50      1     
rcv         9042.425       D       17602  50      1     
rcv         9064.169       D       17652  50      1     
rcv         9087.961       D       17702  50      1     
rcv         9115.654       D       17752  50      1     
rcv         9133.367       D       17802  50      1     
rcv         9157.506       D       17852  50      1     
rcv         9180.661       D       17902  50      1     
rcv         9203.551       D       17952  50      1     
rcv         9226.89        D       18002  50      1     
rcv         9250.221       D       18052  50      1     
rcv         9272.786       D       18102  50      1     
rcv         9306.252       D       18152  50      1     
rcv         9328.611       D       18202  50      1     
rcv         9351.072       D       18252  50      1     
rcv         9378.685       D       18302  50      1     
rcv         9402.055       D       18352  50      1     
rcv         9434.657       D       18402  50      1     
rcv         9458.539       D       18452  50      1     
rcv         9480.836       D       18502  50      1     
rcv         9514.132       D       18552  50      1     
rcv         9542.133       D       18602  50      1     
rcv         9559.673       D       18652  50      1     
rcv         9583.215       D       18702  50      1     
rcv         9618.887       D       18752  50      1     
rcv         9652.688       D       18802  50      1     
rcv         9675.75        D       18852  50      1     
rcv         9710.658       D       18902  50      1     
rcv         9743.71        D       18952  50      1     
rcv         9771.248       D       19002  50      1     
rcv         9804.192       D       19052  50      1     
rcv         9827.23        D       19102  50      1     
rcv         9850.011       D       19152  50      1     
rcv         9898.051       D       19202  50      1     
rcv         9898.4         D       19252  50      1     
rcv         9898.627       D       19302  50      1     
rcv         9898.918       D       19352  50      1     
rcv         9899.097       D       19402  50      1     
rcv         9948.493       D       19452  50      1     
rcv         9981.426       D       19502  50      1     
rcv         9998.79        D       19552  50      1     
rcv         10020.61       D       19602  50      1     
rcv         10049.253       D       19652  50      1     
rcv         10072.756       D       19702  50      1     
rcv         10105.903       D       19752  50      1     
rcv         10141.503       D       19802  50      1     
rcv         10164.024       D       19852  50      1     
rcv         10197.881       D       19902  50      1     
rcv         10209.483       D       19952  50      1     
rcv         10221.417       D       20002  50      1     
rcv         10250.732       D       20052  50      1     
rcv         10274.757       D       20102  50      1     
rcv         10302.323       D       20152  50      1     
rcv         10320.895       D       20202  50      1     
rcv         10332.751       D       20252  50      1     
rcv         10350.859       D       20302  50      1     
rcv         10366.981       D       20352  50      1     
rcv         10377.473       D       20402  50      1     
rcv         10411.175       D       20452  50      1     
rcv         10443.52       D       20502  50      1     
rcv         10465.064       D       20552  50      1     
rcv         10477.4        D       20602  50      1     
rcv         10495.777       D       20652  50      1     
rcv         10518.322       D       20702  50      1     
rcv         10546.526       D       20752  50      1     
rcv         10553.209       D       20802  50      1     
rcv         10553.419       D       20852  50      1     
rcv         10553.564       D       20902  50      1     
rcv         10559.922       D       20952  50      1     
rcv         10593.413       D       21002  50      1     
rcv         10615.189       D       21052  50      1     
rcv         10649.284       D       21102  50      1     
rcv         10670.95       D       21152  50      1     
rcv         10688.405       D       21202  50      1     
rcv         10704.317       D       21252  50      1     
rcv         10704.646       D       21302  50      1     
rcv         10705.154       D       21352  50      1     
rcv         10705.399       D       21402  50      1     
rcv         10705.489       D       21452  50      1     
rcv         10733.525       D       21502  50      1     
rcv         10745.187       D       21552  50      1     
rcv         10778.214       D       21602  50      1     
rcv         10800.633       D       21652  50      1     
rcv         10829.042       D       21702  50      1     
rcv         10856.444       D       21752  50      1     
rcv         10879.348       D       21802  50      1     
rcv         10896.034       D       21852  50      1     
rcv         10931.862       D       21902  50      1     
rcv         10960.088       D       21952  50      1     
rcv         10972.032       D       22002  50      1     
rcv         11006.526       D       22052  50      1     
rcv         11035.881       D       22102  50      1     
rcv         11057.559       D       22152  50      1     
rcv         11092.152       D       22202  50      1     
rcv         11123.578       D       22252  50      1     
rcv         11151.796       D       22302  50      1     
rcv         11173.855       D       22352  50      1     
rcv         11195.892       D       22402  50      1     
rcv         11218.629       D       22452  50      1     
rcv         11252.914       D       22502  50      1     
rcv         11304.001       D       22552  50      1     
rcv         11326.544       D       22602  50      1     
rcv         11342.96       D       22652  50      1     
rcv         11377.601       D       22702  50      1     
rcv         11407.032       D       22752  50      1     
rcv         11430.688       D       22802  50      1     
rcv         11459.008       D       22852  50      1     
rcv         11494.333       D       22902  50      1     
rcv         11528.888       D       22952  50      1     
rcv         11545.507       D       23002  50      1     
rcv         11574.341       D       23052  50      1     
rcv         11574.814       D       23102  50      1     
rcv         11591.149       D       23152  50      1     
rcv         11626.633       D       23202  50      1     
rcv         11654.831       D       23252  50      1     
rcv         11683.002       D       23302  50      1     
rcv         11705.187       D       23352  50      1     
rcv         11728.126       D       23402  50      1     
rcv         11762.575       D       23452  50      1     
rcv         11779.558       D       23502  50      1     
rcv         11812.679       D       23552  50      1     
rcv         11834.177       D       23602  50      1     
rcv         11851.623       D       23652  50      1     
rcv         11869.721       D       23702  50      1     
rcv         11903.14       D       23752  50      1     
rcv         11926.331       D       23802  50      1     
rcv         11943.469       D       23852  50      1     
rcv         11971.44       D       23902  50      1     
rcv         11993.993       D       23952  50      1     
rcv         12027.524       D       24002  50      1     
rcv         12056.839       D       24052  50      1     
rcv         12079.311       D       24102  50      1     
rcv         12090.303       D       24152  50      1     
