<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
snd         0.459          S       0      0       0     
rcv         0.619         SA       0      0       1     
snd         0.676          A       1      0       1     
snd         68.125         D       2      50      1     
rcv         73.991         A       1      0       52    
snd         97.351         D       52     50      1     
drop        97.351         D       102    50      1     
rcv         108.576        A       1      0       102   
snd         119.083        D       102    50      1     
snd         125.164        D       152    50      1     
snd         130.733        D       202    50      1     
rcv         130.792        A       1      0       152   
snd         146.888        D       252    50      1     
rcv         164.189        A       1      0       202   
snd         164.299        D       302    50      1     
rcv         181.431        A       1      0       252   
snd         199.311        D       352    50      1     
rcv         210.712        A       1      0       302   
snd         215.888        D       402    50      1     
rcv         233.585        A       1      0       352   
snd         245.171        D       452    50      1     
rcv         256.158        A       1      0       402   
snd         273.984        D       502    50      1     
drop        273.984        D       552    50      1     
rcv         284.218        A       1      0       452   
snd         290.211        D       552    50      1     
rcv         307.066        A       1      0       502   
snd         313.28         D       602    50      1     
rcv         329.48         A       1      0       552   
snd         346.233        D       652    50      1     
rcv         357.201        A       1      0       602   
snd         373.973        D       702    50      1     
rcv         385.309        A       1      0       652   
snd         397.599        D       752    50      1     
rcv         415.653        A       1      0       702   
snd         432.289        D       802    50      1     
rcv         448.857        A       1      0       752   
snd         455.061        D       852    50      1     
rcv         455.143        A       1      0       802   
snd         472.551        D       902    50      1     
rcv         494.486        A       1      0       852   
snd         500.089        D       952    50      1     
rcv         511.326        A       1      0       902   
snd         528.448        D       1002   50      1     
rcv         534.01         A       1      0       952   
snd         550.747        D       1052   50      1     
drop        550.747        D       1102   50      1     
rcv         562.255        A       1      0       1002  
snd         578.543        D       1102   50      1     
rcv         590.182        A       1      0       1052  
snd         601.266        D       1152   50      1     
rcv         612.406        A       1      0       1102  
snd         623.973        D       1202   50      1     
rcv         635.121        A       1      0       1152  
snd         646.058        D       1252   50      1     
snd         661.532        D       1302   50      1     
snd         667.259        D       1352   50      1     
rcv         667.314        A       1      0       1202  
snd         678.319        D       1402   50      1     
drop        678.319        D       1452   50      1     
rcv         683.619        A       1      0       1252  
snd         695.159        D       1452   50      1     
rcv         711.78         A       1      0       1302  
snd         728.558        D       1502   50      1     
rcv         739.697        A       1      0       1352  
snd         746.141        D       1552   50      1     
rcv         758.688        A       1      0       1402  
rcv         776.507        A       1      0       1452  
snd         781.671        D       1602   50      1     
rcv         787.897        A       1      0       1502  
snd         787.952        D       1652   50      1     
rcv         804.239        A       1      0       1552  
snd         821.46         D       1702   50      1     
snd         832.464        D       1752   50      1     
rcv         832.559        A       1      0       1602  
snd         837.65         D       1802   50      1     
rcv         843.7          A       1      0       1652  
snd         855.037        D       1852   50      1     
rcv         871.833        A       1      0       1702  
snd         884.152        D       1902   50      1     
rcv         901.024        A       1      0       1752  
snd         907.433        D       1952   50      1     
rcv         907.545        A       1      0       1802  
snd         912.654        D       2002   50      1     
rcv         919.053        A       1      0       1852  
snd         925.043        D       2052   50      1     
rcv         942.343        A       1      0       1902  
snd         948.098        D       2102   50      1     
rcv         953.461        A       1      0       1952  
snd         953.569        D       2152   50      1     
rcv         953.627        A       1      0       2002  
snd         958.7          D       2202   50      1     
snd         964.179        D       2252   50      1     
rcv         969.519        A       1      0       2052  
rcv         975.764        A       1      0       2102  
rcv         975.828        A       1      0       2152  
rcv         975.858        A       1      0       2202  
rcv         975.885        A       1      0       2252  
rcv         975.907        A       1      0       2302  
snd         981.166        D       2302   50      1     
rcv         996.864        A       1      0       2352  
snd         1002.859       D       2352   50      1     
snd         1008.408       D       2402   50      1     
rcv         1008.489       A       1      0       2402  
snd         1013.728       D       2452   50      1     
rcv         1019.536       A       1      0       2452  
snd         1031.452       D       2502   50      1     
drop        1031.452       D       2552   50      1     
rcv         1055.153       A       1      0       2502  
snd         1066.986       D       2552   50      1     
rcv         1083.989       A       1      0       2552  
rcv         1101.66        A       1      0       2602  
snd         1107.736       D       2602   50      1     
snd         1113.109       D       2652   50      1     
rcv         1118.829       A       1      0       2652  
snd         1123.999       D       2702   50      1     
drop        1123.999       D       2752   50      1     
rcv         1129.221       A       1      0       2702  
snd         1146.287       D       2752   50      1     
rcv         1158.066       A       1      0       2752  
snd         1169.528       D       2802   50      1     
rcv         1185.807       A       1      0       2802  
snd         1191.679       D       2852   50      1     
snd         1214.687       D       2902   50      1     
rcv         1220.408       A       1      0       2852  
snd         1225.823       D       2952   50      1     
rcv         1231.309       A       1      0       2902  
rcv         1231.454       A       1      0       2952  
snd         1231.541       D       3002   50      1     
rcv         1231.632       A       1      0       3002  
snd         1249.054       D       3052   50      1     
rcv         1267.3         A       1      0       3052  
snd         1283.987       D       3102   50      1     
rcv         1301.421       A       1      0       3102  
snd         1311.801       D       3152   50      1     
rcv         1316.977       A       1      0       3152  
snd         1317.101       D       3202   50      1     
rcv         1322.236       A       1      0       3202  
snd         1322.358       D       3252   50      1     
rcv         1322.41        A       1      0       3252  
snd         1322.471       D       3302   50      1     
